,DistrictA,DistrictB,distance_between,spatial_relation
692,D14,D17,30729.874620923016,southeastern
693,D14,D18,0.0,southwestern
694,D14,D19,16530.182647362082,southwestern
695,D14,D20,177341.4340424352,southern
696,D14,D21,168825.6758388808,southwestern
697,D14,D22,213905.27894820747,southwestern
698,D14,D23,189787.8097846001,southern
699,D14,D24,190966.42909356824,southwestern
700,D14,D25,162396.97262076812,southwestern
701,D14,D26,193834.55975770438,southwestern
702,D14,D27,135158.7452887738,southwestern
703,D14,D28,148706.8479357344,southwestern
704,D14,D29,161450.4141049437,southwestern
705,D14,D30,198200.60654413977,southwestern
706,D14,D31,142485.891776955,southwestern
707,D14,D32,152348.46123754402,southwestern
708,D14,D33,133848.35415051566,southwestern
709,D14,D34,157318.00397165015,southwestern
710,D14,D35,141239.58881276718,western
711,D14,D36,134539.69221489635,southwestern
712,D14,D37,163180.9967567996,southwestern
713,D14,D38,128028.97934209104,southwestern
714,D14,D39,120902.83709407174,western
715,D14,D40,176849.00365635345,southwestern
716,D14,D41,149733.25306948437,southwestern
